5063it [05:06, 16.51it/s]
5063it [07:46, 10.86it/s]
5063it [03:55, 21.49it/s]
5063it [01:39, 50.73it/s]
5063it [03:15, 25.95it/s]
5063it [01:20, 62.82it/s]
5063it [01:34, 53.79it/s]
5063it [02:05, 40.24it/s]
5063it [02:52, 29.32it/s]
5063it [00:27, 183.63it/s]
5063it [05:37, 15.01it/s]]
5063it [05:46, 14.62it/s]
5063it [02:53, 29.14it/s]
5063it [03:20, 25.26it/s]
5063it [03:01, 27.93it/s]
5063it [04:03, 20.81it/s]
5063it [04:30, 18.74it/s]
5063it [02:52, 29.41it/s]
5063it [00:56, 90.31it/s]]
5063it [00:59, 85.20it/s]]
5063it [01:38, 51.52it/s]]
5063it [00:34, 148.58it/s]
5063it [00:17, 286.22it/s]
5063it [01:21, 62.01it/s]]
5063it [02:46, 30.34it/s]
5063it [05:34, 15.14it/s]]
5063it [02:48, 30.10it/s]]
5063it [03:22, 25.02it/s]]
5063it [06:00, 14.04it/s]]
5063it [04:56, 17.05it/s]]
5063it [08:16, 10.19it/s]]
5063it [09:15,  9.12it/s]]
5063it [07:10, 11.76it/s]]
5063it [09:35,  8.79it/s]]
5063it [06:44, 12.52it/s]]
5063it [02:55, 28.91it/s]]
5063it [03:33, 23.74it/s]]
5063it [04:41, 18.01it/s]]
5063it [02:53, 29.12it/s]]
5063it [03:22, 25.03it/s]]
5063it [02:29, 33.85it/s]]
5063it [01:16, 66.13it/s]]
5063it [03:01, 27.86it/s]]
5063it [00:33, 151.94it/s]
5063it [03:50, 21.99it/s]]
5063it [11:43,  7.19it/s]]
5063it [07:59, 10.57it/s]]
5063it [03:17, 25.65it/s]]
5063it [03:56, 21.41it/s]]
5063it [04:11, 20.16it/s]]
5063it [07:14, 11.66it/s]]
5063it [06:05, 13.83it/s]]
5063it [06:50, 12.33it/s]]
5063it [03:55, 21.52it/s]]
5063it [04:15, 19.84it/s]]
55it [3:42:50, 243.09s/it]
